Designator,Footprint,Quantity,Value,LCSC Part #
AE1,1206,1,Antenna_Shield,
AE2,1206,1,W3011,
BT1,PinHeader_1x02_P1.27mm_Vertical,1,1S1P LiPo,
"C1, C6",0402,2,1u,
"C10, C2, C22, C35, C8",0603,5,10u,
"C11, C12, C13, C14, C19, C20, C21, C23, C24, C25, C26, C3, C37, C38, C4, C5, C9",0402,17,100n,
"C15, C16",0402,2,10p,
"C17, C18, C31, C32",0402,4,22p,
"C27, C28, C33, C34",0402,4,DNP,
C7,0402,1,10u,
"D1, D2, D3",D_SOD-323,3,D_Small,
J1,PinHeader_1x04_P2.54mm_Vertical,1,5358,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,BOOT SEL,
"L1, L2, R24, R25, R4",0402,5,0,
M1,PinHeader_1x02_P1.27mm_Vertical,1,LCM1027B3605F,
Q1,TSOT-23,1,AO3400A,
R1,0402,1,10,
"R10, R14, R15, R16, R19, R2, R20, R21, R22, R23, R26, R29, R3, R6",0402,14,10k,
"R11, R7",0402,2,1M,
R12,0402,1,250K,
R13,0402,1,2K,
"R17, R18",0402,2,4.7k,
"R27, R28",0402,2,22,
"R5, R8, R9",0402,3,1k,
SW1,JXTCONN TS-1010-S26,1,SW_Push,
SW2,JXTCONN TS-1010-S26,1,JXTCONN TS-1010-S26,
U1,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,
U10,quectel lc76g,1,Quectel LC76G,
U11,SOT-23-5,1,MIC5504-1.8YM5,
U12,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3,
U13,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
U14,DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm,1,LD39100PU33R,
U2,SOT-23-5,1,MIC5504-3.3YM5,
U3,Maxim_OLGA-14_3.3x5.6mm_P0.8mm,1,MAX30102,
U4,DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm,1,MCP9808_DFN,
U5,SOT-583-8,1,TPS2116DRL,
U6,SOT-23-6,1,USBLC6-2SC6,
U7,SOT-23-5,1,BRCL4054DME,
U9,JST_ZE_B13B-ZESK-D_1x13_P1.50mm_Vertical,1,GC9A01_IPS_Display_w/_Touch,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHz,
"Y2, Y3",EPSON Q13FC13500004,2,32.768KHz,
