Designator,Mid X,Mid Y,Rotation,Layer
AE1,156.5,-97.6,75.0,top
AE2,149.25,-107.2,30.0,top
BT1,135.95,-84.199999,90.0,top
C1,124.95,-89.5,247.0,top
C10,145.0,-89.45,45.0,top
C11,144.8,-94.0,45.0,top
C12,142.0,-98.0,225.0,top
C13,136.2,-89.4,0.0,bottom
C14,132.5,-93.5,315.0,bottom
C15,147.65,-97.35,45.0,top
C16,147.85,-94.75,315.0,top
C17,156.2,-92.85,90.0,top
C18,151.7,-92.85,90.0,top
C19,155.0,-85.6,270.0,top
C2,147.0,-80.5,0.0,top
C20,156.85,-90.7,0.0,top
C21,156.9,-89.7,0.0,top
C22,137.2,-97.25,315.0,top
C23,134.708638,-94.0,0.0,bottom
C24,135.919197,-92.141404,90.0,bottom
C25,149.45,-90.8,90.0,top
C26,147.1,-78.650402,90.0,top
C3,142.05,-84.35,270.0,top
C31,133.0,-89.5,225.0,bottom
C32,136.5,-86.0,225.0,bottom
C35,129.2,-107.2,168.0,top
C37,149.12,-86.0,0.0,top
C38,147.1,-84.75,90.0,top
C4,143.0,-84.35,270.0,top
C5,142.5,-85.75,0.0,top
C6,125.3,-98.1,290.0,top
C7,131.7,-84.0,90.0,top
C8,131.25,-92.35,180.0,top
C9,131.6,-93.55,180.0,top
D1,122.95,-92.8,90.0,top
D2,127.7,-91.0,180.0,top
D3,127.7,-92.9,180.0,top
J1,139.630539,-81.149695,90.0,top
L1,150.2,-94.55,315.0,top
L2,144.0,-109.2,30.0,top
M1,121.150002,-92.799999,180.0,top
Q1,129.25,-96.8,180.0,top
R1,128.45,-99.0,180.0,top
R10,126.2,-97.8,110.0,top
R11,128.15,-88.6,0.0,top
R12,128.16,-89.55,180.0,top
R13,130.3,-84.1,0.0,top
R14,134.257378,-110.468001,168.0,top
R15,142.0,-87.2,45.0,top
R16,129.15,-101.2,78.0,top
R17,141.61,-95.200002,0.0,bottom
R18,139.65,-95.2,180.0,bottom
R19,156.9,-88.75,0.0,top
R2,130.31,-94.650001,180.0,top
R20,151.05,-86.0,180.0,top
R21,155.949999,-85.59,90.0,top
R22,156.9,-87.8,0.0,top
R23,149.45,-88.95,270.0,top
R24,130.75,-100.8,348.0,top
R25,130.5,-101.8,168.0,top
R26,140.55,-90.45,180.0,bottom
R27,134.69699,-89.437131,135.0,top
R28,134.15,-90.25,135.0,top
R29,144.9,-97.55,315.0,top
R3,133.55,-86.95,0.0,top
R4,123.6,-94.9,0.0,top
R5,125.65,-87.8,67.0,top
R6,126.35,-88.6,247.0,top
R7,128.25,-94.35,0.0,top
R8,125.6,-92.3,270.0,top
R9,124.65,-96.35,110.0,top
SW1,123.677806,-89.611514,67.0,top
SW2,124.512063,-99.075499,110.0,top
U1,152.9,-88.75,180.0,top
U10,138.863347,-103.992994,348.0,top
U11,133.95,-95.5,135.0,top
U12,139.519998,-92.750001,315.0,top
U13,148.8925,-83.957501,180.0,top
U14,131.225,-90.116,270.0,top
U2,129.719233,-104.45,78.0,top
U3,139.475,-92.825,90.0,bottom
U4,147.6925,-88.775,180.0,top
U5,133.487499,-84.95,90.0,top
U6,139.4625,-85.35,90.0,top
U7,129.85,-86.55,180.0,top
U9,139.565778,-77.650402,0.0,bottom
Y1,146.4,-96.1,45.0,top
Y2,155.2,-93.85,180.0,top
Y3,134.943095,-86.162376,315.0,bottom
